,product code,review,date,score
64,20138496470,반응속도 빠르고 멜론 음악들을수 있어서 좋아요그런데 휴대폰 와이파이 연결해서 쓰려고하니까 연결 거의안되요~ 인터넷 안쓰시는 부모님 드릴려고 샀다가 기기 연결안되서 저희집에서.쓰고있어요~,19.07.31.,3
65,20138496470,좋네 잘되고 음성인식 잘되고요디자인도 좋고가격도 괜찮고인식 잘되고 와이파이 잘잡고 좋음ㅇㅇ,19.07.31.,5
66,20138496470,너무조아용 빠른배송 감사합니다,19.07.31.,5
67,20138496470,원하는 상품이어서 만족합니다,19.07.29.,5
68,20138496470,집들이 선물로 구매했는데선물받는 지인이 엄청 좋아하네요,19.07.29.,5
69,20138496470,배송도 빠르구 지금 아주 재밌게 쓰고있어요~,19.07.28.,5
70,20138496470,배송 빨리왔습니다.,19.07.28.,4
71,20138496470,너무귀여워요ㅜㅜ♡!,19.07.28.,5
72,20138496470,선물용으로 구입했는데 반응이 아주 좋았습니다.,19.07.26.,5
73,20138496470,만족스러워요 디자인도 인식하는 능력도,19.07.26.,5
74,20138496470,아직 사용안했는데 배송빨라서 5점요,19.07.26.,5
75,20138496470,빨리왔어요~! 만족해요,19.07.26.,5
76,20138496470,쓰는건데 하나더 사서 선물했어요~,19.07.25.,5
77,20138496470,배송도빠르고 아주좋습니당,19.07.25.,5
78,20138496470,아이가 무척 좋아합니다. 매일매일 헤이 카카오를 외칩니다,19.07.25.,5
79,20138496470,라디오 날씨 뉴스 듣기가 너무 편해졌네요ㅋ 주방에서 쓰면 아주 좋을고 같다는 생각이 들었어요 참고로 폰에서 나오는 소리는 출력이 안하고 개별 출력되더러고요,19.07.24.,4
80,20138496470,빨리와서좋음 귀엽고하긴한데 사용법이어려워잉,19.07.24.,4
81,20138496470,집사람이 너무 좋아해요~잘쓸께요~,19.07.24.,5
82,20138496470,완전 좋아요. 짱 편해요 대만족!!!!,19.07.24.,5
83,20138496470,깜찍하고 음질일 좋아요,19.07.24.,5
84,20138496470,빠른배송이 좋았습니다,19.07.24.,5
85,20138496470,"살짝 배송착오가 있긴 했지만, 빠르게 대처해주셔서 잘 받았습니다. 감사합니다.",19.07.24.,5
86,20138496470,재미나고 신기합니다 배송도 아주 빨라서 좋아요,19.07.23.,5
87,20138496470,편해요 써보세요.. 그래야 알수있겠죠?,19.07.23.,5
88,20138496470,삶의 질 상승 너무 좋아요 ㅠㅠ,19.07.23.,5
89,20138496470,잘받았습니다넘나 좋나요 ㅎㅎㅎ잘사용할것같아요,19.07.23.,4
90,20138496470,친구가좋아해요 ㅎㅎ,19.07.21.,5
91,20138496470,카카오 미니 선물하려고 구매했네요 저렴하게 잘 구매했어요,19.07.21.,5
92,20138496470,배송 빨라요감사합니다,19.07.21.,5
93,20138496470,"배송도 빨랐고, 친구선물이었는데 좋았다고 합니다.감사합니다~",19.07.21.,5
94,20138496470,아이들이 매우 좋아합니다,19.07.20.,5
